고유번호,지역,상호,상표,주소,전화번호
A0009153,서울 동대문구,수도에너지(주)동서울충전소,S-OIL,서울 동대문구 망우로 57 (휘경동),02-2244-6666,
A0009165,서울 동대문구,SK행복충전 복지장안충전소,SK가스,서울 동대문구 한천로 169 (답십리동),02-2213-5712,
A0009243,서울 동대문구,장안동가스충전소,E1,서울 동대문구 천호대로 353 (장안동),02-2214-5151,
A0009251,서울 동대문구,(주)홍릉가스,SK에너지,서울 동대문구 회기로 44 (청량리동),02-962-9200,
A0009329,서울 성동구,SK행복충전 서울숲충전소,SK가스,서울 성동구 왕십리로 124,02-463-5616,
A0009371,서울 성동구,대성산업㈜동부가스충전소,GS칼텍스,서울 성동구 광나루로 200 (성수동2가),02-463-2202,
A0009252,서울 성북구,우일에너지(주)성북충전소,GS칼텍스,서울 성북구 종암로 201 (하월곡동),02-915-8722,
A0009491,서울 성북구,SK행복충전 장위가스충전소,SK가스,서울 성북구 화랑로 291 (장위동),02-916-3233,
A0001874,서울 도봉구,복지강북충전소,GS칼텍스,서울 도봉구 도봉로 430 (창동),02-902-1231,
A0009683,서울 도봉구,한영가스충전소,GS칼텍스,서울 도봉구 도봉로 627,02-994-1181,
A0012841,서울 도봉구,(주)평안에너지 도봉충전소,E1,서울 도봉구 도봉로 983 (도봉동),02-3494-5185,
A0000743,서울 서대문구,연일가스산업(주),S-OIL,서울 서대문구 수색로 123 (북가좌동),02-307-5411,
A0000628,서울 은평구,SK행복충전 은평서부충전소,SK가스,서울 은평구 통일로 1186,02-352-4806,
A0000742,서울 은평구,SK행복충전 신흥에너지산업,SK가스,서울 은평구 수색로 199 (증산동),02-373-0051,
A0000291,서울 영등포구,SK행복충전 양평동충전소,SK가스,서울 영등포구 선유로 157,02-2672-1175,
A0000302,서울 영등포구,(주)세지충전소,E1,서울 영등포구 선유로9길 4 (문래동6가),02-2677-9775,
A0009489,서울 영등포구,기린에너지,SK에너지,서울 영등포구 선유로52길 5,02-2068-7800,
A0001049,서울 동작구,동일석유(주) 동주충전소,SK에너지,서울 동작구 상도로 74 (대방동),02-821-2236,
A0001201,서울 강남구,남서울가스(주),GS칼텍스,서울 강남구 남부순환로3154,02-3411-4411,
A0001227,서울 강남구,대치에너지,HD현대오일뱅크,서울 강남구 남부순환로 3179 (대치동),02-3412-2828,
A0006019,서울 강남구,복지강남충전소,E1,서울 강남구 밤고개로 200,02-445-3300,
A0009839,서울 강남구,(주)진양가스,SK에너지,서울 강남구 도곡로 142  (도곡동),02-3463-6811,
A0009777,서울 강동구,복지둔촌충전소,SK에너지,서울특별시 강동구  동남로 563 (둔촌제2동),02-488-4892,
A0009788,서울 강동구,암사충전소,GS칼텍스,서울 강동구 올림픽로 791 (암사동),02-3427-4244,
A0009794,서울 강동구,복지상일충전소,GS칼텍스,서울 강동구 천호대로 1452 (상일동),02-442-5583,
A0000450,서울 강서구,대양가스충전소,E1,서울 강서구 양천로 551 (가양동),02-2668-5151,
A0000481,서울 강서구,SK행복충전 강서충전소,SK가스,서울 강서구 벌말로 266,032-682-9100,
A0000499,서울 강서구,공항로충전소,GS칼텍스,서울 강서구 공항대로 468 (등촌동),02-2653-7211,
A0000532,서울 강서구,대흥에너지산업(주),E1,서울 강서구 곰달래로24길 19 (화곡동),02-2605-9191,
A0000542,서울 강서구,복지개화충전소,E1,서울 강서구 개화동로 416 (개화동),02-2661-5151,
A0000559,서울 강서구,오곡동LPG충전소,E1,서울 강서구 벌말로 271 (오곡동),032-684-9061,
A0032948,서울 강서구,대영가스충전소,SK에너지,서울 강서구 양천로 242  (마곡동),02-2659-9520,
A0032953,서울 강서구,한경에너지,SK에너지,서울 강서구 개화동로 255,02-2064-0786,
A0033046,서울 강서구,복지마곡충전소,GS칼텍스,서울 강서구 양천로 200  (마곡동),02-2668-2397,
A0033308,서울 강서구,SK행복충전 활주로충전소,SK가스,서울 강서구 방화대로 26 (외발산동),032-676-8289,
A0000831,서울 구로구,SK행복충전 개봉충전소,SK가스,서울 구로구 경인로 364 (개봉동),02-2685-2352,
A0000834,서울 구로구,SK행복충전 한일가스산업충전소,SK가스,서울 구로구 경인로 537 (구로동),02-2675-2614,
A0000851,서울 구로구,대성산업(주)오류동충전소,GS칼텍스,서울 구로구 경인로8길 31,02-2612-0039,
A0004014,서울 구로구,SK행복충전 궁동충전소,SK가스,서울 구로구 신정로 59 (궁동),02-2618-5500,
