고유번호,지역,상호,상표,주소,전화번호,셀프여부, 품질인증주유소, 전산보고주유소
A0000035,서울 종로구,㈜지에스이앤알 평창주유소,HD현대오일뱅크,서울 종로구 평창문화로 135 (평창동),02-391-5185,셀프,N,Y
A0000045,서울 종로구,SK북악주유소,SK에너지,서울 종로구 평창문화로 137,02-395-6500,일반,N,N
A0000047,서울 종로구,경복궁주유소,GS칼텍스,서울 종로구 율곡로 6 (중학동),02-6016-6981,일반,N,N
A0000063,서울 종로구,HD현대오일뱅크㈜직영 재동주유소,HD현대오일뱅크,서울 종로구 율곡로 58 (경운동),02-732-3968,셀프,N,Y
A0000064,서울 종로구,안풍주유소,S-OIL,서울 종로구 자하문로 303,02-396-5151,일반,N,N
A0000069,서울 종로구,자하문주유소,SK에너지,서울 종로구 자하문로 248 (부암동),02-396-5252,셀프,N,N
A0002211,서울 종로구,구도일주유소특종,S-OIL,서울 종로구 평창문화로 90 (평창동),02-379-6524,일반,N,Y
A0009433,서울 종로구,(주)중앙에너비스 혜화주유소,SK에너지,서울 종로구 창경궁로35길 1,070-8707-4564,일반,N,N
A0010027,서울 종로구,(주)대양씨앤씨 사직주유소,GS칼텍스,서울 종로구 사직로 65 (사직동),02-735-4858,일반,N,N
A0000767,서울 중구,서남주유소,SK에너지,서울 중구 통일로 30,02-752-9475,일반,N,Y
A0006093,서울 중구,다산주유소,S-OIL,서울 중구 다산로 233,02-2252-2210,셀프,N,N
A0009047,서울 중구,필동주유소,GS칼텍스,서울 중구 퇴계로 196 (필동2가),02-2267-8025,일반,N,N
A0009071,서울 중구,HD현대오일뱅크㈜직영 장원주유소,HD현대오일뱅크,서울 중구 동호로 203 (신당동),02-2236-2759,일반,N,Y
A0009073,서울 중구,장충드림주유소,S-OIL,서울 중구 동호로 296,02-2275-5150,셀프,N,N
A0009076,서울 중구,세화주유소,알뜰주유소,서울 중구 왕십리로 403,02-2234-3451,일반,Y,Y
A0009096,서울 중구,신당동주유소,SK에너지,서울 중구 다산로 242 (신당동),02-2252-6688,일반,N,N
A0009097,서울 중구,약수주유소,SK에너지,서울 중구 다산로 173,02-2252-3345,셀프,N,N
A0009100,서울 중구,SK에너지(주) 퇴계로주유소,SK에너지,서울 중구 퇴계로 228 (필동2가),02-2273-5189,일반,N,Y
A0009101,서울 중구,장충주유소,SK에너지,서울 중구 장충단로 202 (장충동1가),02-2279-9965,일반,N,Y
